Question_Text,Response_Scale,Category,Agreement,Neutral,Disagreement,N_Respondents,Country,Survey_Organisation,Notes,source_file,extraction_date,Fieldwork_Date,country_region,month,year,Fieldwork_Year,Fieldwork_Month
"Before today, had you heard of AI for driverless cars?","Yes, Not sure / Prefer not to say, No",AI_Sentiment,93,5,2,3513,United Kingdom,Ada Lovelace Institute and The Alan Turing Institute,"Wave two of a nationally representative survey. Sample representative across age, sex, income, education and ethnicity, with oversampling for low digital skills, lower incomes, and Black/Asian ethnicities. Data weighted based on official statistics. Cross-sectional design. Response rate: 62%.",ada_lovelace_2024.md,2025-07-04,2024-10-25,United Kingdom,Oct,2024,2024,10
"Before today, had you heard of AI for facial recognition for policing?","Yes, Not sure / Prefer not to say, No",AI_Sentiment,90,6,4,3513,United Kingdom,Ada Lovelace Institute and The Alan Turing Institute,"Wave two of a nationally representative survey. Sample representative across age, sex, income, education and ethnicity, with oversampling for low digital skills, lower incomes, and Black/Asian ethnicities. Data weighted based on official statistics. Cross-sectional design. Response rate: 62%.",ada_lovelace_2024.md,2025-07-04,2024-10-25,United Kingdom,Oct,2024,2024,10
"Before today, had you heard of AI for large language models (e.g., ChatGPT)?","Yes, Not sure / Prefer not to say, No",AI_Sentiment,61,5,34,3513,United Kingdom,Ada Lovelace Institute and The Alan Turing Institute,"Wave two of a nationally representative survey. Sample representative across age, sex, income, education and ethnicity, with oversampling for low digital skills, lower incomes, and Black/Asian ethnicities. Data weighted based on official statistics. Cross-sectional design. Response rate: 62%. Aligns with existing survey-based research which found that 58% of the UK public have heard of ChatGPT specifically.",ada_lovelace_2024.md,2025-07-04,2024-10-25,United Kingdom,Oct,2024,2024,10
"Before today, had you heard of AI for assessing risk of cancer from a scan?","Yes, Not sure / Prefer not to say, No",AI_Sentiment,40,6,54,3513,United Kingdom,Ada Lovelace Institute and The Alan Turing Institute,"Wave two of a nationally representative survey. Sample representative across age, sex, income, education and ethnicity, with oversampling for low digital skills, lower incomes, and Black/Asian ethnicities. Data weighted based on official statistics. Cross-sectional design. Response rate: 62%.",ada_lovelace_2024.md,2025-07-04,2024-10-25,United Kingdom,Oct,2024,2024,10
"Before today, had you heard of AI for mental health chatbots?","Yes, Not sure / Prefer not to say, No",AI_Sentiment,25,5,70,3513,United Kingdom,Ada Lovelace Institute and The Alan Turing Institute,"Wave two of a nationally representative survey. Sample representative across age, sex, income, education and ethnicity, with oversampling for low digital skills, lower incomes, and Black/Asian ethnicities. Data weighted based on official statistics. Cross-sectional design. Response rate: 62%. Awareness of mental health chatbots is low.",ada_lovelace_2024.md,2025-07-04,2024-10-25,United Kingdom,Oct,2024,2024,10
"Before today, had you heard of AI for assessing risk of repaying a loan?","Yes, Not sure / Prefer not to say, No",AI_Sentiment,24,7,69,3513,United Kingdom,Ada Lovelace Institute and The Alan Turing Institute,"Wave two of a nationally representative survey. Sample representative across age, sex, income, education and ethnicity, with oversampling for low digital skills, lower incomes, and Black/Asian ethnicities. Data weighted based on official statistics. Cross-sectional design. Response rate: 62%. Awareness for risk and eligibility technologies has not significantly increased since 2022/23 survey.",ada_lovelace_2024.md,2025-07-04,2024-10-25,United Kingdom,Oct,2024,2024,10
"Before today, had you heard of AI for robotic care assistants?","Yes, Not sure / Prefer not to say, No",AI_Sentiment,24,6,70,3513,United Kingdom,Ada Lovelace Institute and The Alan Turing Institute,"Wave two of a nationally representative survey. Sample representative across age, sex, income, education and ethnicity, with oversampling for low digital skills, lower incomes, and Black/Asian ethnicities. Data weighted based on official statistics. Cross-sectional design. Response rate: 62%.",ada_lovelace_2024.md,2025-07-04,2024-10-25,United Kingdom,Oct,2024,2024,10
"Before today, had you heard of AI for assessing eligibility for welfare benefits?","Yes, Not sure / Prefer not to say, No",AI_Sentiment,18,7,75,3513,United Kingdom,Ada Lovelace Institute and The Alan Turing Institute,"Wave two of a nationally representative survey. Sample representative across age, sex, income, education and ethnicity, with oversampling for low digital skills, lower incomes, and Black/Asian ethnicities. Data weighted based on official statistics. Cross-sectional design. Response rate: 62%. Awareness for risk and eligibility technologies has not significantly increased since 2022/23 survey.",ada_lovelace_2024.md,2025-07-04,2024-10-25,United Kingdom,Oct,2024,2024,10
Have you had any personal experience with using large language models for the following tasks: Search for answers/recommendations?,"Yes, regularly, Yes, a few times, Not sure / Prefer not to say, No, but I am open to using it, No, and I don’t want to",AI_Sentiment,33,47,20,3513,United Kingdom,Ada Lovelace Institute and The Alan Turing Institute,"Wave two of a nationally representative survey. Sample representative across age, sex, income, education and ethnicity, with oversampling for low digital skills, lower incomes, and Black/Asian ethnicities. Data weighted based on official statistics. Cross-sectional design. Response rate: 62%. Two-fifths (40%) of the UK public have used LLMs for one or more of the tasks asked about. Usage figures may be a conservative estimate due to existing integration of AI in some search engines.",ada_lovelace_2024.md,2025-07-04,2024-10-25,United Kingdom,Oct,2024,2024,10
Have you had any personal experience with using large language models for the following tasks: Educational purposes?,"Yes, regularly, Yes, a few times, Not sure / Prefer not to say, No, but I am open to using it, No, and I don’t want to",AI_Sentiment,21,51,28,3513,United Kingdom,Ada Lovelace Institute and The Alan Turing Institute,"Wave two of a nationally representative survey. Sample representative across age, sex, income, education and ethnicity, with oversampling for low digital skills, lower incomes, and Black/Asian ethnicities. Data weighted based on official statistics. Cross-sectional design. Response rate: 62%. Two-fifths (40%) of the UK public have used LLMs for one or more of the tasks asked about. Usage figures may be a conservative estimate due to existing integration of AI in some search engines.",ada_lovelace_2024.md,2025-07-04,2024-10-25,United Kingdom,Oct,2024,2024,10
