question_text,question_group,group_size,survey_organisation,country,source_file,total_questions,unique_organizations,unique_countries
"Before today, had you heard of the use of AI technologies for... Facial recognition for unlocking phones",ungrouped_0,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
"Before today, had you heard of the use of AI technologies for... Driverless cars",ungrouped_1,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
"Before today, had you heard of the use of AI technologies for... Robotic vacuum cleaners",ungrouped_2,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
"Before today, had you heard of the use of AI technologies for... Targeted consumer advertising",ungrouped_3,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
"Before today, had you heard of the use of AI technologies for... Smart speakers",ungrouped_4,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
"Before today, had you heard of the use of AI technologies for... Facial recognition for policing",ungrouped_5,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
"Before today, had you heard of the use of AI technologies for... Facial recognition for border control",ungrouped_6,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
"Before today, had you heard of the use of AI technologies for... Targeted political advertising",ungrouped_7,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
"Before today, had you heard of the use of AI technologies for... Virtual reality in education",ungrouped_8,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
"Before today, had you heard of the use of AI technologies for... Autonomous weapons",ungrouped_9,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
"Before today, had you heard of the use of AI technologies for... Virtual healthcare assistants",ungrouped_10,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
"Before today, had you heard of the use of AI technologies for... Climate research simulations",ungrouped_11,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
"Before today, had you heard of the use of AI technologies for... Assessing loan repayment risk",ungrouped_12,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
"Before today, had you heard of the use of AI technologies for... Assessing job eligibility",ungrouped_13,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
"Before today, had you heard of the use of AI technologies for... Assessing risk of cancer",ungrouped_14,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
"Before today, had you heard of the use of AI technologies for... Robotic care assistants",ungrouped_15,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
"Before today, had you heard of the use of AI technologies for... Assessing welfare eligibility",ungrouped_16,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
How much personal experience have you had with this technology? Targeted consumer advertising,ungrouped_17,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
