rank,question_text,category,survey_org_clean,country,fieldwork_date,agreement,neutral,disagreement,n_respondents,response_scale,question_type,strategic_value,country_relevance,recency_score,sample_quality,total_score,selection_reason,justification,strategic_context,notes
1,It is important for Australia to play a leading role in the international governance and regulation of AI.,AI_Regulation,SARA2024 (University of Queensland),Australia,2024-01-01,94,NA,6,1151,Agree|Disagree,regulation_policy,10,10,5,4,44,Representative of semantic group,Best representative of 'Support For International AI Governance' theme,Policy advocacy: Demonstrates public support for AI regulation,"Online survey using Qualtrics platform. Participants recruited through Online Research Unit’s panel, with nationally representative quota sampling by gender, age group, and state/territory. Multilevel regression with poststratification (MRP) used to create Australian population estimates and confidence intervals, using 2021 Census information about sex, age, state/territory, and education."
2,Australia requires a new regulatory body to govern and promote responsible AI innovation.,AI_Regulation,SARA2024 (University of Queensland),Australia,2024-01-01,86,7,6,1151,Agree|Uncertain|Disagree,regulation_policy,10,10,5,4,44,SARA2024 - Australian baseline,Australian baseline data - critical for tracking domestic attitudes,Policy advocacy: Demonstrates public support for AI regulation,"Online survey using Qualtrics platform. Participants recruited through Online Research Unit’s panel, with nationally representative quota sampling by gender, age group, and state/territory. Multilevel regression with poststratification (MRP) used to create Australian population estimates and confidence intervals, using 2021 Census information about sex, age, state/territory, and education."
3,Mitigating the risk of extinction from AI should be a global priority alongside other societal-scale risks such as pandemics and nuclear war.,Extinction_Risk,SARA2024 (University of Queensland),Australia,2024-01-01,80,12,7,1151,Support|Neutral|Opposed,risk_concern,9,10,5,4,43,Representative of semantic group,Best representative of 'Concern About AI Extinction Or Catastrophic Risk' theme,Risk communication: Shows public concern about AI risks,"Online survey using Qualtrics platform. Participants recruited through Online Research Unit’s panel, with nationally representative quota sampling by gender, age group, and state/territory. Multilevel regression with poststratification (MRP) used to create Australian population estimates and confidence intervals, using 2021 Census information about sex, age, state/territory, and education."
4,What is the likelihood that AI causes human extinction in the next 50 years?,Extinction_Risk,SARA2024 (University of Queensland),Australia,2024-01-01,32,NA,68,1151,Extremely likely (>95% chance)|Very likely (80-95% chance)|Moderately likely (40-60% chance)|Only slightly likely (20-40% chance)|Not at all likely (<5% chance),risk_concern,9,10,5,4,43,Representative of semantic group,Best representative of 'Concern About AI Extinction Or Catastrophic Risk' theme,Risk communication: Shows public concern about AI risks,"Agreement combines 'Extremely likely (>95% chance)', 'Very likely (80-95% chance)', and 'Moderately likely (40-60% chance)'. Disagreement combines 'Only slightly likely (20-40% chance)' and 'Not at all likely (<5% chance)'. Online survey using Qualtrics platform. Participants recruited through Online Research Unit’s panel, with nationally representative quota sampling by gender, age group, and state/territory. Multilevel regression with poststratification (MRP) used to create Australian population estimates and confidence intervals, using 2021 Census information about sex, age, state/territory, and education."
5,Do you think AI will do more good or harm overall?,AI_Sentiment,SARA2024 (University of Queensland),Australia,2024-01-01,37,20,43,1151,More good than harm|Neutral|More harm than good,risk_concern,9,10,5,4,43,Representative of semantic group,Best representative of 'General Sentiment Towards AI Development' theme,Risk communication: Shows public concern about AI risks,"Online survey using Qualtrics platform. Participants recruited through Online Research Unit’s panel, with nationally representative quota sampling by gender, age group, and state/territory. Multilevel regression with poststratification (MRP) used to create Australian population estimates and confidence intervals, using 2021 Census information about sex, age, state/territory, and education."
6,How much would you support/oppose pausing the development of large-scale AI systems for at least 6 months worldwide?,AI_Regulation,SARA2024 (University of Queensland),Australia,2024-01-01,66,20,14,1151,Support|Neither support nor oppose|Oppose,support_opposition,7,10,5,4,41,Representative of semantic group,Best representative of 'Support 6Month AI Development Pause' theme,Political feasibility: Public support for specific measures,"Online survey using Qualtrics platform. Participants recruited through Online Research Unit’s panel, with nationally representative quota sampling by gender, age group, and state/territory. Multilevel regression with poststratification (MRP) used to create Australian population estimates and confidence intervals, using 2021 Census information about sex, age, state/territory, and education."
7,How much do you support the general development of AI?,AI_Sentiment,SARA2024 (University of Queensland),Australia,2024-01-01,44,27,29,1151,Support|Ambivalent|Oppose,support_opposition,7,10,5,4,41,SARA2024 - Australian baseline,Australian baseline data - critical for tracking domestic attitudes,Political feasibility: Public support for specific measures,"Online survey using Qualtrics platform. Participants recruited through Online Research Unit’s panel, with nationally representative quota sampling by gender, age group, and state/territory. Multilevel regression with poststratification (MRP) used to create Australian population estimates and confidence intervals, using 2021 Census information about sex, age, state/territory, and education."
8,How familiar are you with AI?,AI_Knowledge,SARA2024 (University of Queensland),Australia,2024-01-01,23,NA,77,1151,Know a lot about it|Know a fair bit about it|Only know a little about it|Only heard about it before|Never heard about it before,awareness_knowledge,5,10,5,4,39,Representative of semantic group,Best representative of 'Familiarity And Usage Of AI' theme,Contextual: Provides background understanding,"Agreement combines 'Know a lot about it' and 'Know a fair bit about it'. Disagreement combines 'Only know a little about it' and 'Only heard about it before'. 'Never heard about it before' is not explicitly mentioned in the percentages, but implied as the remainder if 23% know a lot/fair bit and 77% know little/heard about it. Online survey using Qualtrics platform. Participants recruited through Online Research Unit’s panel, with nationally representative quota sampling by gender, age group, and state/territory. Multilevel regression with poststratification (MRP) used to create Australian population estimates and confidence intervals, using 2021 Census information about sex, age, state/territory, and education."
9,"Thinking about the use of artificial intelligence (AI) in the United States, are you more concerned that the U.S. government will go too far regulating its use or not go far enough regulating its use?",AI_Regulation,Pew Research Center,United States,2024-08-12,NA,NA,58,5410,"Go too far regulating its use, Not go far enough regulating its use, Not sure",regulation_policy,10,9,5,5,39,Representative of semantic group,Best representative of 'General AI Regulation Support' theme,Policy advocacy: Demonstrates public support for AI regulation,"Data for U.S. adults. Agreement is 'Go too far regulating its use', Disagreement is 'Not go far enough regulating its use'. Those who did not give an answer are not shown."
10,"Thinking about the U.S. over the next 20 years, do you think that artificial intelligence (AI) will lead to fewer jobs for Lawyers in the U.S.?",Job_Displacement,Pew Research Center,United States,2024-08-12,NA,45,23,5410,"Fewer jobs, More jobs, Will not make much difference, Not sure",regulation_policy,10,9,5,5,39,Representative of semantic group,Best representative of 'Perceived Job Loss by Profession' theme,Policy advocacy: Demonstrates public support for AI regulation,"Data for U.S. adults. 'More jobs,' 'will not make much difference' or 'not sure' are not shown. Agreement is 'More jobs', Disagreement is 'Fewer jobs'."
